"source_path","owner","action","notes"
"docs/examples/postgresql-blog-cms.md","Postgres Extension","Revise","Retain as Postgres vertical example with updated prerequisites"
"docs/examples/postgresql-ecommerce.md","Postgres Extension","Revise","Retain as Postgres vertical example with updated prerequisites"
"docs/examples/postgresql-integration.md","Postgres Extension","Revise","Update to reflect new quick start prerequisites"
"docs/examples/postgresql-realtime.md","Postgres Extension","Revise","Ensure streaming guidance matches async docs"
"docs/examples/postgresql-search.md","Postgres Extension","Revise","Highlight search-specific SQL patterns"
"docs/examples/testing.md","Operations & Integrations","Merge","Combine with new testing and CI guidance under Operations"
"docs/examples/tooling.md","Core Docs","Revise","Refocus as tooling integrations cross-reference"
"docs/faq.md","Core Docs","Revise","Reframe around dual-track FAQ categories"
"docs/index.md","Core Docs","Revise","Become new docs homepage in sync with README landing hero"
"docs/integrations.md","Operations & Integrations","Revise","Convert to integrations hub with surface tags"
"docs/integrations/timescaledb.md","Operations & Integrations","Revise","Place in integrations subsection with Postgres emphasis"
"docs/migration-guide.md","Operations & Integrations","Revise","Serve as migration hub referencing sub-guides"
"docs/migration/from-embeddings-api.md","Operations & Integrations","Revise","Align with migration hub template"
"docs/migration/from-langchain.md","Operations & Integrations","Revise","Align with migration hub template"
"docs/migration/from-openai.md","Operations & Integrations","Revise","Align with migration hub template"
"docs/model-switching.md","Core Docs","Revise","Include Postgres extension switching notes"
"docs/postgresql-extension-advanced.md","Postgres Extension","Revise","Form advanced Postgres tutorial tier"
"docs/postgresql-extension-ai.md","Postgres Extension","Merge","Fold into Postgres quick start or advanced guides"
"docs/postgresql-extension-async.md","Postgres Extension","Revise","Align with async tutorial sequencing"
"docs/postgresql-extension.md","Postgres Extension","Revise","Serve as Postgres landing page mirrored with Python track"
"docs/postgresql-extension-prompt-registry.md","Postgres Extension","Revise","Ensure prompt registry doc ties into tutorials and reference"
"docs/postgresql-extension-reference.md","Postgres Extension","Revise","Transform into SQL function reference home"
"docs/postgresql-extension-reranking.md","Postgres Extension","Revise","Fit into advanced Postgres features section"
"docs/postgresql-extension-structured.md","Postgres Extension","Revise","Highlight structured outputs in SQL context"
"docs/postgresql-extension-troubleshooting.md","Postgres Extension","Revise","Place under Postgres operations support"
"docs/quick-start.md","Core Docs","Retire","Replace with separate Python and Postgres quick start pages"
"docs/reranking.md","Core Docs","Revise","Build cross-pillar reranking narrative linking to surface guides"
"docs/shell-integration.md","Operations & Integrations","Revise","Clarify CLI and shell plugin stories referencing both surfaces"
"docs/structured-generation.md","Core Docs","Revise","Keep as shared structured generation guide referenced from both tracks"
"docs/troubleshooting.md","Operations & Integrations","Revise","Split into Python and Postgres troubleshooting indexes"
"docs/unsafe-mode.md","Operations & Integrations","Revise","Ensure unsafe-mode guidance covers Postgres use cases"
"docs/vector-indexing.md","Core Docs","Revise","Position as shared vector story linking to CLI, API, and SQL examples"
"docs/version_history.md","Contribute & Changelog","Keep","Expose in release hub with improved navigation"
"docs/why-steadytext.md","Core Docs","Merge","Incorporate into new homepage value proposition and Core Platform messaging"
"docs/xllamacpp-migration-assessment.md","Operations & Integrations","Keep","Keep as research note linked from migration hub"
"examples/README.md","Core Docs","Merge","Fold into new examples hub summary"
"GEMINI.md","Core Docs","Retire","Port relevant info into integrations or archive"
"INSTALL_PACKAGES.md","Operations & Integrations","Revise","Integrate into deployment and install guides per surface"
"memory/constitution.md","Internal Docs","Keep","Internal governance reference"
"memory/constitution_update_checklist.md","Internal Docs","Keep","Internal governance checklist"
"packaging/README.md","Operations & Integrations","Keep","Link from distribution packaging note under Operations"
"PG_EXT_PLAN.md","Postgres Extension","Revise","Convert into background context or integrate into Postgres roadmap"
"pg_steadytext/CHANGELOG.md","Postgres Extension","Keep","Expose via Contribute & Changelog pillar"
"pg_steadytext/CLAUDE.md","Internal Docs","Keep","Extension maintainer reference"
"pg_steadytext/docs/ASYNC_FUNCTIONS.md","Postgres Extension","Revise","Merge into Postgres async tutorial set"
"pg_steadytext/docs/OMNIGRES_INTEGRATION.md","Operations & Integrations","Revise","Place in integrations tree"
"pg_steadytext/INSTALL.md","Postgres Extension","Merge","Roll into Postgres quick start install section"
"pg_steadytext/README.md","Postgres Extension","Revise","Align with new Postgres landing narrative"
"pg_steadytext/TESTING.md","Postgres Extension","Keep","Link from Postgres QA guidance"
"pg_steadytext/todos.md","Internal Docs","Retire","Fold into updated planning tracker or remove"
"README.md","Core Docs","Revise","Serve as top-level landing bridging Python and Postgres pillars"
"steadytext/cli/zsh-plugin/README.md","Operations & Integrations","Revise","Include in shell integration narrative"
"steadytext/cli/zsh-plugin/examples/demo.md","Operations & Integrations","Revise","Update example to mirror docs structure"
"steadytext/core/CLAUDE.md","Internal Docs","Keep","Maintainer notes with no public doc impact"
"steadytext/models/CLAUDE.md","Internal Docs","Keep","Maintainer notes with no public doc impact"
"workers/d1-cache-proxy/README.md","Operations & Integrations","Revise","Integrate into integrations and deployment recipes"
