# Category, Subcategory, ROI, Name, lat, lon_e, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), UVS, JANUS HR, JANUS COLOR, JANUS STEREO, MAJIS, SWI, RIME, GALA, PEP/RPWI, J-MAG
# 1, 0, #0036fc, Polar Deposits, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological properties are expected, Characterize the local environment and its interaction with the Jovian magnetosphere-comparison with Ganymede (CA/GC),,,,,,,,,,
3, 0, 5, None, -42.8, 290.2, -45.0, -40.5, 288.0, 292.5, Peciular dark deposits along crater wall in moderately degraded unnamed crater, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
# 4, 0, #9a35ff, Impact Crater Morphologies, ---, ---, ---, ---, ---, ---, Widest variety of crater morphologies on icy bodies, Characterisation of the ice shell; study formation of crater morphologies (CA/ CB),,,,,,,,,,
# 4, 1, #9a35ff, Central Peak Craters, ---, ---, ---, ---, ---, ---, Fresh impact craters with a central peak, Study subsurface properties related to peak formation,,,,,,,,,,
4, 1, 1, None, 36.5, 356.0, 34.0, 39.0, 353.0, 359.0, Small impact craters with a central peak located in the W part of a heavily degraded unnamed ring structure, Study differences in the formation of peak craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 1, 2, None, 52.5, 10.0, 48.0, 57.0, 5.0, 15.0, Bright possible central peak craters with bright ejecta NE of Valhalla. Additional features: crater chain Geirmivul Catena, Study differences in the formation of peak craters with respect to surface and subsurface properties. Study implications for crustal properties; study impact mechanism in relation to surface and subsurface properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 1, 3, None, 5.0, 10.0, 0.0, 10.0, 5.0, 15.0, Group of poorly resolved possible peak craters, Study differences in the formation of peak craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 2, #9a35ff, Central Pit Craters, ---, ---, ---, ---, ---, ---, Impact craters with a central pit, Study geology; composition; subsurface properties related to pit formation,,,,,,,,,,
4, 2, 1, Sigyn, 35.0, 332.5, 31.0, 39.0, 328.0, 337.0, Bright impact crater with a central pit in the NE portion of Valhalla, Study differences in the formation of pit craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 2, 2, Hoenir, -32.5, 99.5, -36.0, -29.0, 96.0, 103.0, Impact crater with a central pit. possibly a small central peak is still existent, Study transition between peak and pit craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 2, 3, None, -38.8, 97.5, -42.5, -35.0, 93.0, 102.0, Impact crater with a central pit and one more ring next to a degraded dome crater, Study differences in the formation of pit craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 2, 4, None, 13.2, 332.5, 11.0, 15.5, 330.0, 335.0, Poorly resolved possible pit crater. Additional features: fresh bright impact crater, Study differences in the formation of pit crater with respect to surface and subsurface properties. Study implications for crustal properties; study fresh impact crater, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 2, 5, Tindr, -3.0, 3.5, -8.0, 2.0, 357.0, 10.0, Central pit impact crater next to dome crater Har. Additional features: impact craters of different sizes; morphology and degradation state, Study differences in the formation of dome versus pit crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 3, #9a35ff, Dome / Anomaleous Dome Craters, ---, ---, ---, ---, ---, ---, Impact craters with a central dome, Study geology; composition; subsurface properties related to dome formation,,,,,,,,,,
4, 3, 1, Debegey, 8.0, 196.0, 3.0, 13.0, 191.0, 201.0, Unusual dome crater next to unnamed impact craters with possible central pit, Study differences in the formation of dome and pit crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 2, Njord, 16.2, 228.5, 13.0, 19.5, 225.5, 231.5, Dome crater with possible pedestals, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 3, Barri, -31.2, 291.5, -34.0, -28.5, 287.0, 296.0, Bright dome crater together with impact crater Thorir showing an unusual dark fracture on the floor, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties; resolve morphology of Thorir, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 4, Oluksak, -47.5, 297.0, -50.0, -45.0, 294.0, 300.0, Poorly resolved degraded dome crater, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 5, Nerrivik, -15.5, 303.5, -21.0, -10.0, 298.0, 309.0, Poorly resolved bright dome crater superimposed on impact basin Valhalla. Additional features: impact craters of different morphology; size and degradation, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 6, Nori, 46.5, 16.5, 42.0, 51.0, 11.0, 22.0, Possibly degraded dome crater, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 7, Grimr, 41.5, 146.0, 37.0, 46.0, 140.0, 152.0, Possibly degraded complex dome crater superimposed by a small fresh impact crater, Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 8, Alfr, -8.5, 138.5, -12.0, -5.0, 134.0, 143.0, Possibly degraded complex dome crater near impact crater Loni (#4.3.10), Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 9, Loni, -4.0, 146.0, -7.0, -1.0, 142.0, 150.0, Possibly degraded dome crater superimposed by a small fresh impact crater, Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 3, 10, None, 27.5, 275.5, 23.0, 32.0, 271.0, 280.0, Impact crater with a possible central dome and bright deposits on the crater floor, Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 3, 11, None, -7.0, 291.0, -13.0, -1.0, 284.0, 298.0, Small impact crater with a dome and multiple rings superimposed on Valhalla rings, Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# 4, 4, #9a35ff, Pedestal Craters, ---, ---, ---, ---, ---, ---, Impact craters with topographically elevated continuous ejecta blankets, Study geology; composition; topography and subsurface properties related to elevated ejecta deposits,,,,,,,,,,
4, 4, 1, Valfödr, -1.0, 113.5, -5.0, 3.0, 109.0, 118.0, Poorly resolved bright impact crater with distinct continuous ejecta blanket (possible elevated), Study differences in the formation of crater morphologies (pedestals or dome) with respect to surface and subsurface properties; study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 4, 2, None, 53.8, 279.0, 48.5, 59.0, 273.0, 285.0, Poorly resolved bright impact crater NW of Valhalla (#4.6.2) with possible pedestals or dome, Study differences in the formation of crater morphologies (pedestals or dome) with respect to surface and subsurface properties; study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 4, 3, None, 21.0, 321.8, 19.0, 23.0, 319.5, 324.0, Small central pit crater with possible pedestals in the NE portion of Valhalla (#4.6.2), Study differences in the formation of crater morphologies (pit and pedestals) with respect to surface and subsurface properties; study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 4, 4, None, -10.0, 333.0, -13.0, -7.0, 329.0, 337.0, Small impact crater with pronounced ejecta deposits, Study differences in the formation of crater morphologies with respect to surface and subsurface properties; study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 5, #9a35ff, Palimpsests and Penepalimpsests, ---, ---, ---, ---, ---, ---, Impact features with subdued inner-crater features, Study geology; composition; topography and subsurface properties related to palimpsests and penepalimpsests of different sizes and with different substrate,,,,,,,,,,
4, 5, 1, Kol Facula, 5.5, 77.5, -3.0, 14.0, 68.0, 87.0, Presumably relatively young palimpsest including a small bright fresh impact crater Additional features: linear features; which extend into #6.1.5 and #6.1.6, Study formation of palimpsest within bright terrain; study implications for the evolution of crustal properties within bright terrain; study additional impact features; study relationships to adjacent linear featuresPresumably relatively young palimpsest including a small bright fresh impact crater Additional features: linear features; which extend into #6.1.5 and #6.1.6, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1
4, 5, 2, None, -24.5, 202.2, -31.0, -18.0, 195.5, 209.0, High albedo feature of unknown morphology partly superimposed by fresh bright impact craters, Study formation of potential palimpsest within bright terrain; study implications for the evolution of crustal properties within bright terrain; study additional impact featuresHigh albedo feature of unknown morphology partly superimposed by fresh bright impact craters, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 5, 3, None, -32.2, 230.2, -39.0, -25.5, 221.0, 239.5, High albedo feature of unknown morphology partly superimposed by fresh bright impact craters, Study formation of possible palimpsest within bright terrain; study implications for the evolution of crustal properties within bright terrain; study additional impact featuresHigh albedo feature of unknown morphology partly superimposed by fresh bright impact craters, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 6, #9a35ff, Impact Basins, ---, ---, ---, ---, ---, ---, Multiring basins, Study geology; composition; topography and subsurface properties related to impact basins; stratigraphic marker for surface age measurements,,,,,,,,,,
4, 6, 1, Asgard, 31.0, 220.0, 22.0, 40.0, 210.0, 230.0, Multiring basin with superimposed impact craters such as the anomalous dome crater Doh and Tornarsuk; and younger ring structure Utgard, Stratigraphic marker for measurements of surface ages; characterize details of crater morphology; look for compositional indicators for a possible excavation of ocean material, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 6, 2, Valhalla, 14.5, 303.0, -1.0, 30.0, 289.0, 317.0, Multiring basin superimposed by numerous other younger surface features; largest multiring structure on Callisto, Stratigraphic marker for measurements of surface ages; characterize details of crater morphology; look for compositional indicators for a possible excavation of ocean material, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 6, 3, Adlinda, -46.5, 326.0, -57.0, -36.0, 314.0, 338.0, Old; heavily degraded multiring basin, Stratigraphic marker for measurements of surface ages; characterize details of crater morphology; look for compositional indicators for a possible excavation of ocean material, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 7, #9a35ff, Catenae, ---, ---, ---, ---, ---, ---, Impact crater chains, Investigate dynamical and physical impactor properties and impact mechanisms,,,,,,,,,,
4, 7, 1, Svol Catena, 10.5, 323.5, 8.0, 13.0, 321.0, 326.0, Catena in the near-equatorial middle zone of the Valhalla rings - crossing the impact crater Skuld, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 2, Gomul Catena, 34.5, 314.0, 30.0, 39.0, 307.0, 321.0, Catena in the northern middle zone of the Valhalla (#4.6.2). Additional features: unnamed complex (or dome) impact crater, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties; study possibly relationship to Valhalla (#4.6.2), 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 3, Eikin Catena, -8.0, 343.5, -14.0, -2.0, 337.0, 350.0, Poorly resolved catena SE of Valhalla outside the rings; by chance radial to Valhalla; or secondary chain of Valhalla ejecta, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties; study possibly relationship to Valhalla (#4.6.2), 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 4, Gipul Catena, 69.5, 311.0, 59.0, 80.0, 292.0, 330.0, Poorly imaged catena at high latitudes N of Valhalla; longest known crater chain on Callisto. Additional features: possible covered with polar and/or ejecta deposits of adjacent unnamed bright impact crater (#1.5), Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 5, None, 40.5, 27.0, 37.0, 44.0, 24.0, 30.0, Possible double impact SE of Nori, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 6, None, -29.5, 59.0, -34.0, -25.0, 55.0, 63.0, Undefined surface features with similarities to a catena with 3-4 individual craters without common rims, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
# 5, 0, #19c7eb, Bright Ray Craters, ---, ---, ---, ---, ---, ---, Young bright impact craters with an ex tended bright ray system, Characterise the ice shell (CA),,,,,,,,,,
5, 0, 1, Ljekio, 49.5, 198.5, 47.0, 52.0, 196.0, 201.0, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 2, Nirkes, 31.8, 196.5, 28.0, 35.5, 192.0, 201.0, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 3, Egres, 43.0, 184.5, 39.0, 47.0, 181.0, 188.0, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1
5, 0, 4, Burr, 45.0, 226.0, 40.0, 50.0, 220.0, 232.0, Bright fresh impact crater of unknown morphology (possible central pit) with extended ejecta deposits / rays superimposed on the outer rings of Asgard (#4.6.1), Study bright ray crater material with respect to the excavation depth of the crater; its age (important stratigraphic marker); evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 5, Tornarsuk, 30.5, 233.0, 27.0, 34.0, 230.0, 236.0, Bright fresh impact crater of unknown morphology (possible central pit) with extended ejecta deposits / rays superimposed on the outer rings of Asgard (#4.6.1), Study bright ray crater material with respect to the excavation depth of the crater; its age (important stratigraphic marker); evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 6, Agloolik, -48.0, 278.0, -52.0, -44.0, 272.0, 284.0, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 7, Lofn, -57.5, 337.5, -69.0, -46.0, 325.0, 350.0, Large bright ray crater; extended system of bright rays with clusters and chains of secondary craters, Study bright ray crater material with respect to the excavation depth of the crater; its age (important stratigraphic marker); evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 8, Heimdall, -62.5, 8.0, -75.0, -50.0, 353.0, 23.0, Large bright ray crater; extended system of bright rays with clusters and chains of secondary craters, Study bright ray crater material with respect to the excavation depth of the crater; its age (important stratigraphic marker); evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere; study if Heimdall and Lofn are a double impact or dicrete impact events, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 9, Bran, -23.5, 154.0, -30.0, -17.0, 145.0, 163.0, Bright impact dome crater with fresh ejecta deposits; albedo differences of unknown origin, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; investigate albedo differences; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 10, Igaluk, 6.2, 44.5, 1.0, 11.5, 39.0, 50.0, Poorly resolved bright impact crater with a central pit and fresh presumably ejecta deposits enriched in volatiles, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 11, Askr, 52.0, 37.5, 48.0, 56.0, 32.0, 43.0, Poorly resolved bright impact crater with a central pit and fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 12, Gloi, 49.5, 116.0, 41.0, 58.0, 107.0, 125.0, Poorly resolved bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 13, Vili, 33.5, 144.0, 30.0, 37.0, 139.5, 148.5, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 14, None, 13.0, 208.0, 10.0, 16.0, 205.0, 211.0, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 15, None, -20.5, 219.5, -25.0, -16.0, 215.0, 224.0, Poorly resolved small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 16, None, -23.0, 113.5, -26.0, -20.0, 110.0, 117.0, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 17, None, 59.5, 173.5, 55.0, 64.0, 167.0, 180.0, Small bright impact crater of unknown morphology with fresh ejecta deposits. Additional features: unusual dark deposits extending from the impact crater, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere; resolve nature and origin of dark deposits, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 18, None, -6.2, 50.5, -10.5, -2.0, 46.0, 55.0, Small bright impact crater of unknown morphology with fresh ejecta deposits. Additionalfeatures: unusual dark deposits in the south of the impact crater, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere; resolve nature and origin of dark deposits, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 19, None, -47.0, 157.0, -53.0, -41.0, 151.0, 163.0, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 20, None, 19.5, 131.5, 16.0, 23.0, 128.0, 135.0, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
# 6, 0, #e4b015, Resurfaced Terrain, ---, ---, ---, ---, ---, ---, Tectonic resurfacing, Characterize theoutershell/Study past activity (CA/CC),,,,,,,,,,
# 6, 1, #e4b015, Grooves / Fractures, ---, ---, ---, ---, ---, ---, Possible incipient resurfacing, Characterize surface and subsurface properties and investigate formation and deformation style of incipient resurfacing related and/or unrelated to impact events,,,,,,,,,,
6, 1, 1, None, -0.5, 165.5, -8.0, 7.0, 157.0, 174.0, Poorly resolved set of linear features of unknown origin. Additional features: fresh impact craters; dark terrain; numerous degraded impact craters, Resolve nature and origin of linear features; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 2, None, -48.0, 307.5, -55.0, -41.0, 300.0, 315.0, Sets of concentric furrows possibly related to Adlinda (#5.7). Additional features: superimposed fresh impact craters; numerous more or less degraded impact craters, Study resurfacing through impact events; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
6, 1, 3, None, -21.5, 13.5, -30.0, -13.0, 4.0, 23.0, Sets of linear features of unknown origin. Additional features: fresh impact craters; dark terrain; numerous degraded impact craters, Study possible relationship of linear features with Lofn (#5.7); compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 4, Valhalla Ii, 33.5, 281.5, 27.0, 40.0, 275.0, 288.0, Sets of grooves in the outer portion of Valhalla (#4.6.2). Additional features: fresh impact craters; numerous more or less degraded impact craters, Characterize morphology of outer ring of Valhalla; study resurfacing through impact events; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 5, None, -7.5, 75.0, -17.0, 2.0, 65.0, 85.0, Set of N/S trending grooves of unknown origin; which extend to the north to Kol Facula (#4.5.1). Additional features: dark terrain; numerous more or less degraded impact craters, Study possible relationship of linear features with Kol Facula (#4.5.1) and linear features of #6.1.6; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 6, None, 16.0, 78.5, 7.0, 25.0, 70.0, 87.0, Set of N/S trending grooves of unknown origin; which extend to the south to Kol Facula (#4.5.1). Additional features: dark terrain; numerous more or less degraded impact craters, Study possible relationship of linear features with Kol Facula (#4.5.1); compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 7, None, -41.0, 36.0, -51.0, -31.0, 24.0, 48.0, Poorly resolved sets of linear features NE of Heimdall (#5.8). Additional features: dark terrain; numerous more or less degraded impact craters, Study possible relationship of linear features with Lofn (#5.7) or Heimdall (#5.8); compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
